id,date,views,likes,reposts,body,comments
3083,1600246814,1055,3,0,"Вакансия Junior Front-end Developer 
CQG, г. Самара 
Возможно совмещение с учебой для студентов старших курсов 
 
📌 Штаб-квартира CQG находится в Колорадо с офисами продаж и поддержки клиентов в Чикаго, Нью-Йорке, Денвере, Гленвуд-Спрингс, Лондоне, Франкфурте, Токио, Сиднее, Сингапуре, Москве и Китае. Миссия компании - создавать инновационные решения для индустрии финансового трейдинга. Уже более 30 лет CQG предоставляет рыночные данные и услуги ISV. 
 
💡Задачи: 
- Участие в реализации front-end решений с использованием TypeScript, JavaScript, .NET; 
- разработка требований, сопроводительной документации, документирование кода, ведение деловой переписки на английском языке; 
- написание тестов для приложения с использованием NUnit, MSTest, Selenium; 
- активное взаимодействие с командами разработчиков и тестировщиков. 
 
✅Что необходимо: 
- Хорошее знание английского языка (чтение технической документации, деловая переписка); 
- опыт программирования на JavaScript/TypeScript; 
- понимание принципов ООП;
- будет плюсом опыт разработки SPA (Single Page Application) с использованием Angular.
 
🍰 Условия: 
- Работа в международной компании, более 30-ти лет успешно работающей на мировом рынке программных решений для трейдинга; 
- офис в Самаре с видом на Волгу; 
- полный соцпакет и мед. страховка со стоматологией на сотрудника и членов его семьи; 
- уютная кухня с едой и печеньками, где можно попить чай и пообщаться с коллегами; 
- бесплатные занятия английским дважды в неделю в рабочее время; 
- дружелюбная и творческая атмосфера. Серьезно! 
 
📞8 927 016 96 74 
✉junina@cqg.com

#вакансии@samara_it_community",0
3080,1600176600,701,3,0,"Поиск Fronted Developer

RoasUp.com - аналитическая платформа для управления и автоматизации рекламных кампаний в Facebook, Google, Snapchat для мировых разработчиков мобильных игр и приложений.

Контакты: 
ВК: https://vk.com/d_katiq 
Телеграм: @eadodonova 

#вакансии@samara_it_community",0
3077,1600151400,945,7,0,"Компания mechanica ищет в команду backend-специалистов
 на Node.js и на PHP (отдельно) с опытом работы от 1 года на сложные сервисные проекты.
Не рассматривают кандидатов без опыта или на удаленной основе.

Ребята пишут бэкэнд не только на Node.js и PHP, так что если у вас есть опыт в разработке серверсайда на другом стеке или вы хотите в «мир асинхронных приключений» — вам по пути. ☺

Присылать резюме можно [id2073851|Николаю Сладкому] или [id20475785|Никите Рязанцеву], на почту hello@mechanica.agency или оставлять отклик на hh.ru 😊 Ну и за успешную рекомендацию, конечно же, обещают дать денег! 😏👍🏻 

Подробнее о том, кто нужен:
https://samara.hh.ru/employer/1449079

#вакансии@samara_it_community",0
3076,1600090201,678,3,0,"Вакансия Full Stack Developer

Компания: Кронштадт 
https://www.kronshtadt.ru/ 

Город: Самара
Формат работы: офис/дом 
Занятость: полная 
Зарплатная вилка: выше рыночной российской

Задачи: 
- создавать сервис-ориентированные архитектурные решения; 
- реализовывать модули взаимодействия между сервисами, приложениями и серверами; 
- проектировать и разрабатывать front-end и backend сервисы приложений; 
- создавать новые сервисы, и реализовывать сервис-ориентированные подходы; 
- создавать БД (PostgreSql) в зоне разработки своих сервисов. 

Ждут: 
- уверенные знания JS/Python; 
- опыт создания и проектирования сервисов; 
- серверных приложений и web-сервисов; 
- опыт работы с СУБД (PostgreSQL); 
- знание принципов работы MQ (RabbitMQ и пр.); 

Контакт: [id330457634|@m_trakova]

#вакансии@samara_it_community",0
3067,1599744603,740,6,1,"У Самары появился свой PHP чат 
https://t.me/samara_php - в октябре планируется первый митап",0
3063,1599719403,1012,4,0,"Продуктовая команда крупнейшего страхового брокера РФ нуждается в PHP разработчике

Если:
- ваш опыт работы с PHP больше 2 лет 
- вы уже успешно пробовали запускать web-приложения на Yii
- пишите в резюме минимум Middle и хотите расти дальше
- понимаете как работает highload сервисы
- работали в распределенных командах
- хотите поработать в FinTech, а ещё лучше, если уже есть опыт
То возможно вам стоит хотя бы познакомиться с компанией?

Стек: Yii, MySQL, VueJS, Bootstrap

Предложение:
Официальное трудоустройство
Доход от 100к net
ДМС
Возможность удаленной работы

Контакты: 
https://vk.com/rupor
Telegram: @MrDrProfRu

#вакансии@samara_it_community",1
3060,1599658201,766,5,0,"Приглашаем на [club198065772|Конференцию MediaSoft]
регистрация уже открыта! 
 
25 сентября на Конференции MediaSoft, где соберется вся тусовка digital-рынка, будут говорить про управление бизнесом: тонкости общения с клиентом, построение структуры внутри компании, позиционирование на рынке и многое другое. 
 
От советских инженеров до ИТ-рынка нашего времени – развитие инженерной культуры региона началось больше столетия назад. Ульяновск сейчас – это более 300 ИТ-компаний, география клиентов которых распространяется на весь мир. В чем их секрет? 
 
Расскажут на #MediaSoftConf! Билеты и программа на сайте: https://conf.mediasoft.team/

#мероприятия@samara_it_community",0
3054,1599571802,1992,29,2,"Разыскиваются питон челики

Тольятти, квартиру дают
Зарплата 30-120к
Стек - Asyncio/django
Подробности в Telegram: [id360750596|@Dihset] 

#вакансии@samara_it_community",5
3052,1599546600,1222,7,1,"Автомобильный портал Автоброкер

В команду нужен Web-программист 

Что нужно делать: 
Верстка е-мейл рассылок и промо-страниц; 
Адаптивная верстка. 
Необходимый опыт: 
Хорошее знание HTML5, CSS3; 
Знание JavaScript, jQuery, AJAX; 
Базовое знание PHP, MySQL; 
Умение работать с CSS-препроцессорами (SASS / SCSS, LESS и другими); 
Опыт верстки шаблонов Adobe Photoshop, Figma; 
Опыт кроссбраузерной верстки; 
Опыт работы со сборщиками Gulp, Webpack. 

Что предлагают: 
Окончательный уровень обсуждается с успешными кандидатами; 
Работа в стильном офисе в районе ТРЦ Космопорта; 
График работы 5/2, зона отдыха, обустроенная кухня для возможности обедать в офисе. 

Отправьте резюме на адрес kolokoltsov.vlad@mail.ru 
Контактное лицо: 
HR -менеджер Колокольцов Владислав Станиславович 
8-927-263-93-68

#вакансии@samara_it_community",0
3051,1599485401,1202,4,1,"PHP Разработчик

Зарплата от 60.000 руб.

Ищут разработчика хорошо или почти идеально знакомого с фреймворком, его экосистемой и имеющий опыт в разработке высоконагруженных интернет проектов с распределенной командой разработки, способного делится знаниями и вести за собой коллектив. 

Инструментарий: 
Laravel 
JIRA 
Git (Bitbucket) 

Преимущества компании: 
Полноценное участие в создании портала, с возможностью задавать вектор техническому стеку и организации работы команды 

Ещё: 
Удаленная работа или работа по гибкому графику обсуждается индивидуально 
Или работа в офисе в районе ТЦ Космопорт 

Отправьте резюме на адрес kolokoltsov.vlad@mail.ru 
Контактное лицо: 
HR -менеджер Колокольцов Владислав Станиславович 
8-927-263-93-68

#вакансии@samara_it_community",0
3046,1599226200,942,6,0,"15–17 сентября пройдёт онлайн-конференцию ESCAPE
 Essential Skills, Competencies and People Engineering. Это нетехническая конференция для всех, кто работает в IT, и первая конференция, посвящённая Essential skills. 
 
Будут доклады и воркшопы про обучение и осознанность, про то, как общаться с заказчиками, командой и людьми разных культур, как проводить и проходить интервью, работать со стрессом, эмоциями, выгоранием и многое другое! 
 
📌 Регистрация, хедлайнеры и программа конференции по ссылке 👇🏻

https://epa.ms/ESCAPESep20 

#мероприятия@samara_it_community",0
3044,1599201000,865,4,1,"15 сентября в 19:00 подключайтесь к онлайн-митапу по Business Intelligence
 
Тема: Практические проблемы оценки результатов тестирования производительности приложения. 
 
Особенно полезным митап будет для BI-разработчиков уровня Senior и выше, которые решают задачи стабильной оценки производительности своих приложений. 
 
💲Участие бесплатно
👉 Для участия нужна регистрация: https://epa.ms/BImeetup-2-samit
 
Мы отправим вам доступ к трансляции в день митапа. До онлайн-встречи!

#мероприятия@samara_it_community",0
3040,1599053402,742,3,0,"Удалённая работа

С помощью компьютерного зрения и голосового сопровождения Zenia - Yoga Assistant помогает скорректировать положение тела и введет пользователя в течении всего занятия. 

https://zenia.app

🎉Zenia - продукт 2019 года по версии Product Hunt в категории Health&Fitness.

Приглашается в команду Android engineer 
https://www.notion.so/Android-developer-609f2429a9f34e828749d25f7976dda5

Основные задачи: писать приложение почти с нуля, запускать полный функционал (аналогичный IOS (https://apps.apple.com/app/id1483602673) версии) и нейронные сети на Android платформе + работа с мультиплатформенным кодом.

Заскучать не успеете!

От Android engineer ждут:
- Глубокие знания Java, Kotlin и Android SDK и опыт в продакшн от 3х лет
- Опыт с Android NDK
- Опыт написания многопоточного кода
- Широкий технологический кругозор
- Алгоритмы и структуры данных
- Английский не ниже B1

👉 Присылайте CV в телеграмм @Hanna_Krauchanka",0
3037,1598967002,907,8,1,"6 сентября стартует бесплатный онлайн-тренинг
 EPAM и The Rolling Scopes School. Курс будет посвящен современным подходам и технологиям разработки веб-приложений с использованием JavaScript. 
 
Тренинг по JavaScript/Frontend поможет: 
 
✔ познакомиться с основами HTML & CSS, JavaScript и другими технологиями и инструментами frontend-разработки; 
✔ создать портфолио; 
✔ получить опыт в командной разработке проекта под руководством ментора; 
✔ стать частью международного профессионального сообщества. 
 
Что вас ждет:

• 24 недели обучения; 
• сложные и интересные задания; 
• теоретический материал и практика; 
• тренировочные интервью с менторами; 
• индивидуальные и групповые задания; 
• тренеры и студенты из разных стран. 
 
По итогам успешного обучения у вас будет шанс пройти стажировку в ЕРАМ. 
 
Узнать подробную информацию о тренинге и зарегистрироваться можно здесь 👉🏻 https://epa.ms/JavaScript-Training-RSSchool

#обучение@samara_it_community",0
3027,1598774404,1268,29,4,"В Самаре запустился новый Youtube проект

«Войти в IT, но сначала выпьем кофе».

Это встречи с людьми, которые уверенно вошли в IT и развиваются в этой сфере.
Рассказывают миру интересные и полезные истории, а еще готовят завтраки и варят кофе.

В первом выпуске ведущие встретились с HR-директором компании Mercury Development и поговорили о том, как выглядит идеальный кандидат для компании, нужно ли «писать честно» или «немного врать» в резюме и что делать, чтобы продать себя подороже.

Смотрите по ссылке: https://youtu.be/zHWQkwaUHAg
Instagram автора: https://instagram.com/for_your_gm",6
3024,1598535002,850,4,0,"Вакансия Lead Python Developer
 
Компания Кронштадт проектирует, разрабатывает, производит высокотехнологичные беспилотные авиационные комплексы, системы навигации и наземного управления. 
 
Сейчас одна из команд разрабатывает web-сервис, который является платформой для обработки и обеспечения информации, моделирования, поддержки принятия решений и многое другое. 
И поэтому приглашает в команду сильного и ведущего разработчика! 
 
Вакансия открыта для городов с подразделениями – Самара и Ульяновск. 
 
Описание вакансии и дополнительную информацию можно посмотреть по ссылке 
https://samara.hh.ru/vacancy/38362140 
 
✉ mariia.trakova@kronshtadt.ru 
📞 +7 (906) 146-46-31 
🔎 m_trakova 
https://kronshtadt.ru/ 
 
#вакансии@samara_it_community",0
3022,1598509800,911,3,0,"Яндекс Практикум в поиске экспертов на JavaScript

""Яндекс.Практикум — сервис онлайн-образования. Мы помогаем людям расти — на работе и в жизни. Студенты могут освоить новую специальность, заговорить на иностранном языке и получать удовольствие от того, чем занимаются — каждый день.""

Сейчас сервис в поиске наставников на программу обучения «Веб-разработчик».

🔹Что делает наставник?
Наставник курирует группу из 60 студентов, отвечает на их вопросы, проводит групповые консультации и лайвкодинг-вебинары.

🔹Вам подойдет роль, если у вас есть опыт работы программистом больше трех лет, вы знаете HTML, CSS, JavaScript, React, NodeJs.Плюсом будет опыт преподавания и экспертной деятельности.

🔹Все наставники перед работой проходят Школу наставников от Яндекс.Практикума, где узнают, как передавать знания и опыт начинающим специалистам.

График: частичная удаленная занятость, 12 часов в неделю (з/п 50 тыс рублей в месяц). Можно легко совмещать с основной работой.

Откликаться можно здесь: https://praktikum.yandex.ru/job/vacancy-9

#вакансии@samara_it_community",0
3015,1598250600,1068,6,0,"Вакансия Java Developer

IT-команда банка ""Ренессанс Кредит"" ищет опытных Java-разработчиков, готовых вступить в их ряды и принять активное участие в развитии внутренних проектов компании.

Что используют: 
- Стек: Java 8, Spring 4, Spring-Integration, Spring-Security, Spring-Web, Hibernate 4, Maven и т.д. 
- Микрсервисная архитектура 
- Разработка по Agile

С какими задачами предстоит работать: 
- Развитие системы Интернет-банка 
- Участие в проектировании архитектуры приложений и баз данных 
- Выстраивание процессов CI/CD 
 
Что предлагают: 
- Удаленная работа 
- Официальное трудоустройство 
- ДМС с 1-го месяца работы 
- Годовая премия по результатам работы 
- График 5/2 
- Корпоративное обучение и развитие: индивидуальные программы развития и планирования карьеры для каждого сотрудника; электронная библиотека; возможность обучаться очно (тренинги) и дистанционно (вебинары, электронные курсы); портал обучения и развития удаленным доступом 24/7; собственная IT-академия 
 
Подробности по ссылке https://hh.ru/vacancy/38132929 или у Анастасии [id55173464|@aa_shaposhnikova]

#вакансии@samara_it_community",0
3009,1597995331,975,12,0,"Не прошло и года

SITCast наконец-то в Яндекс Подкастах: https://music.yandex.ru/album/11854215",3
3008,1597905003,863,3,0,"Хакатон на Полярном круге

• Описание: ""отправься в путешествие в северный Салехард, проведи три дня разработки в чумах и запусти пилот с регионом. Офлайн-хакатон от департамента молодёжной политики и туризма Ямало-Ненецкого автономного округа, ГБУ ЯНАО «Окружной молодёжный центр», [club152166875|Russian Hackers] и Rutech.""

• Регистрация: до 31 августа
• Пред-отбор: до 15 сентября
• Даты проведения: 29 октября - 1 ноября
• Место проведения: г. Салехард
• Ссылка: http://rhck.me/hackyanao10
• Особенности: проживание в настоящих чумах, компенсация до 12.000 рублей на проезд каждому члену финала, еда, мерч, возможность запуска пилота и призовой фонд 450.000 рублей

#мероприятия@samara_it_community",0
3002,1597824457,978,16,1,"Новое познавательное видео

[id11511341|Сергей Бутузов] опубликовал новые видео на свой канал, делимся одним из них https://youtu.be/Jc1cqLk7NmQ

Не забывайте ставить лайки и подписываться 👍🏻",2
3001,1597757400,929,6,1,"ИТ Марафон

Этой осенью НК ""Роснефть"" порадует ИТ-сообщество сразу тремя хакатонами, а это в три раза больше интересных задач, уникальных решений и, конечно, победителей. ИТ-марафон пройдет с сентября по ноябрь и будет состоять из ""Хакатона трёх городов"" по машинному обучению, хакатона для программистов-робототехников и Rosneft Proppant Check Challenge. 

Мероприятие организует корпоративный институт ООО ""РН-БашНИПИнефть"" – центр разработки линейки наукоёмкого корпоративного программного обеспечения ""Роснефти"". Стать участниками ИТ-марафона могут программисты от 18 лет и старше. 

""Хакатон трёх городов"" по машинному обучению пройдет 24-25 сентября для студентов и аспирантов вузов Уфы, Казани и Самары. Задача: построение оптимального пути по сложной поверхности. 

Следующий Хакатон для программистов-робототехников пройдет 16-17 октября на базе УГАТУ для студентов и аспирантов технических вузов. Задача: разработать роботизированное решение для выполнения операции, связанной с текущей производственной деятельностью по обслуживанию технологического оборудования. Для решения командам-участникам будет предоставлен четырёхосевой робот-манипулятор, необходимое программное обеспечение для создания управляющей программы и конструирования, а также 3D-принтер. 

Завершающим мероприятием станет международный Rosneft Proppant Check Challenge, который стартует в сентябре как для опытных ИТ-специалистов, так и для начинающих. Задача: определения распределения линейных размеров зерен проппанта по серии фотографий. 

Завершится ИТ-марафон 28 ноября в Москве, где будут подведены итоги Rosneft Proppant Check Challenge и куда будут приглашены победители всех трёх хакатонов. Помимо денежного вознаграждения талантливую молодёжь ждёт предложение работы от компании ""Роснефть"" и возможность принять участие в масштабных технологических проектах. 

А вот кого в марафоне не будет, так это проигравших: участие в масштабном мероприятии нефтяного лидера позволит молодым специалистам оценить свои возможности на рынке, стать претендентами на будущие вакансии и найти единомышленников для обмена знаниями и совместных проектов. 

Подробности о марафоне хакатонов: https://rn.digital/it2020

https://ssau.ru/news/18116-marafon-dlya-programmistov-ot-rosnefti

#мероприятия@samara_it_community",0
3000,1597732201,834,6,0,"Вакансия Android Developer
 [club94830979|Haulmont] ищет именно вас! 
 
Приглашают сотрудников в одно из подразделений — Sherlock, которое развивает собственную систему для служб такси. Она позволяет автоматизировать все процессы управления бизнесом — от заказа и назначения машины до биллинга и приложений для клиентов. 
 
Sherlock знают не только в России: системой пользуются компании из Франции, Великобритании, Румынии, Новой Зеландии, Сингапура, а также стран Африки и Ближнего Востока. 
 
У команды Sherlock много интересных задач: от разработки эвристических алгоритмов принятия решений до мобильных приложений для заказа такси. 
 
Haulmont ищет специалистов из Самары, Тольятти и Саратова, который займутся проектированием и реализацией Android-приложений и структуры базы данных. Вам предстоит исследовательская и проектная работа над продуктом, имеющим международные награды. 
 
Если вы работали в похожей отрасли, отлично знаете Android, Java/Kotlin, Android Architecture Components и архитектуру «клиент-сервер», то эта вакансия — для вас. От компании — достойная зарплата, комфортный офис, бесплатное обучение английскому и другие приятные бонусы. 
 
Больше подробностей здесь: 
➡ https://www.haulmont.ru/career/vacancy/android-developer/

#вакансии@samara_it_community",0
2989,1597588221,7581,18,1,"Чем заняться в пасмурную погоду?

Укутаться в плед и слушать новый выпуск SITCast!",5
2988,1597394838,829,2,0,"AMC Makeathon 2020 возвращается в новом формате
 
Примите участие в онлайн-хакатоне от Американского Центра в Москве! AMC Makeathon 2020 - это два дня разработки технических решений, которые улучшат жизнь горожан и сделают городскую среду более удобной🏙 Успейте зарегистрироваться и создать команду до 25 августа!
 
🗓Даты проведения: 5-6 сентября 2020 🗓
📍Место проведения: онлайн
📌Узнайте подробности и зарегистрируйтесь тут: https://amc.ru/produce/amc-makeathon-2020/ 
⏰Дедлайн подачи заявок и формирования команд: 25 августа 2020
 
👥Кого ждут: проектные команды, IT специалистов, UX/UI дизайнеров, архитекторов и урбанистов из Москвы и регионов России готовых творить на благо общества!
 
Воспользуйтесь шансом не только прокачать свои навыки, но и изменить свой город к лучшему при помощи информационных технологий💻
 
#мероприятия@samara_it_community",0
